id,alias,name,image_url,is_closed,url,review_count,categories,rating,latitude,longitude,distance,address,price,is_delivery,is_pickup,category
1hNbSIt0ZqiZ0FeDNKzY_g,patterson-park-baltimore,Patterson Park,https://s3-media1.fl.yelpcdn.com/bphoto/MkKDlTCHH6SrsjcA2V-EeQ/o.jpg,False,https://www.yelp.com/biz/patterson-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,53,"Landmarks & Historical Buildings, Parks",4.5,39.2897772180526,-76.5805220603943,12203.001030346133,"2900 E Lombard St Baltimore, MD 21224",,False,False,parks
ylqP26YkuqabvSkFk5uacA,centennial-park-ellicott-city,Centennial Park,https://s3-media2.fl.yelpcdn.com/bphoto/z8fkK5UCaS89FrSbU6hlCw/o.jpg,False,https://www.yelp.com/biz/centennial-park-ellicott-city?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,65,Parks,4.5,39.241252,-76.857075,12361.297464168989,"10000 Clarksville Pike Ellicott City, MD 21045",,False,False,parks
_HMryxsiuU1xgzvsxlFIng,patapsco-state-park-avalon-area-halethorpe,Patapsco State Park - Avalon Area,https://s3-media2.fl.yelpcdn.com/bphoto/ok4-pZmaCyFva7hYC3fmxQ/o.jpg,False,https://www.yelp.com/biz/patapsco-state-park-avalon-area-halethorpe?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,40,"Parks, Tubing, Fishing",4.5,39.2215886,-76.7049325,3658.149001831973,"5120 South St Halethorpe, MD 21227",,False,False,parks
s7SpWkAhixEaegfTNQojYQ,kinder-farm-park-millersville,Kinder Farm Park,https://s3-media3.fl.yelpcdn.com/bphoto/DLfvWGw6cgt3I73gVCP9gQ/o.jpg,False,https://www.yelp.com/biz/kinder-farm-park-millersville?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,34,"Playgrounds, Parks, Fishing",4.5,39.1004243282202,-76.5852208569218,20809.021538652658,"1001 Kinder Farm Park Rd Millersville, MD 21108",,False,False,parks
6tO5MtqwvnGrzmK2owwtlg,patapsco-valley-state-park-ellicott-city,Patapsco Valley State Park,https://s3-media3.fl.yelpcdn.com/bphoto/Yt-a47JO8Jep2gZ5JcmAdg/o.jpg,False,https://www.yelp.com/biz/patapsco-valley-state-park-ellicott-city?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,63,Parks,4.0,39.288734,-76.782778,7050.809033767706,"8020 Baltimore National Pike Ellicott City, MD 21043",,False,False,parks
Pjnf-aSe0lq28LTi0GMb_A,druid-hill-park-baltimore,Druid Hill Park,https://s3-media1.fl.yelpcdn.com/bphoto/pUZSZv87dHJvuJqtzbQIRA/o.jpg,False,https://www.yelp.com/biz/druid-hill-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,36,Parks,4.0,39.31696,-76.636167,9733.272693912471,"900 Druid Park Lake Dr Baltimore, MD 21217",,False,False,parks
Ye0XsC9fn1EhePoF0vkZFA,thomas-a-dixon-jr-aircraft-observation-park-baltimore,Thomas A Dixon Jr Aircraft Observation Park,https://s3-media1.fl.yelpcdn.com/bphoto/qywgyGQoozeoFxb9xgoI0w/o.jpg,False,https://www.yelp.com/biz/thomas-a-dixon-jr-aircraft-observation-park-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,39,"Parks, Playgrounds",4.0,39.162308,-76.663492,11077.922833534942,"176 Dorsey Rd Baltimore, MD 21240",,False,False,parks
Kb-BJkVwGiouC3EPLLmxXA,loch-raven-reservoir-baltimore,Loch Raven Reservoir,https://s3-media2.fl.yelpcdn.com/bphoto/JWxM4AMQvHLhM9PzWVcTGQ/o.jpg,False,https://www.yelp.com/biz/loch-raven-reservoir-baltimore?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,15,"Hiking, Parks",4.5,39.45416,-76.54573,26586.129718600638,"Morgan Mill Rd & Loch Raven Dr Baltimore, MD 21057",,False,False,parks
UQHWvtjvOhNrx50ZYKqdlw,worthington-dog-park-ellicott-city,Worthington Dog Park,https://s3-media2.fl.yelpcdn.com/bphoto/n_6aaBaFFP4AlfwPqJnnmA/o.jpg,False,https://www.yelp.com/biz/worthington-dog-park-ellicott-city?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,26,Dog Parks,4.0,39.25086,-76.79623,7140.922523655443,"8170 Hillsborough Rd Ellicott City, MD 21043",,False,False,parks
WfEtCmM3eGTFnDceeBoCWQ,long-gate-playground-ellicott-city,Long Gate Playground,https://s3-media1.fl.yelpcdn.com/bphoto/T2XlO4A_eyTaRvn5M50TtA/o.jpg,False,https://www.yelp.com/biz/long-gate-playground-ellicott-city?adjust_creative=A7YzCKh4zZPyEDfAvKtWkQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=A7YzCKh4zZPyEDfAvKtWkQ,14,"Playgrounds, Parks",4.5,39.2462631343705,-76.819828748703,9113.31150871139,"5001 Meadowbrook Ln Ellicott City, MD 21043",,False,False,parks
